OID_,CGI,FREQUENCY,PCI,ECI,LONGITUDE (processed),LATITUDE (processed),angle,TAC,Down frequency,Bandwidth,Electrical Tilt,Mechanical Tilt,Antenna transmit power(dBm),Height
165,10093276256,251,467,41342058752,106.7153417,29.58909644,70,10121472,636664,100M,0,4,24,21
166,10093320259,40,21,41342238979,106.7122183,29.56377016,80,10116864,636664,100M,3,15,24,81
169,1.01E+11,151,548,41339196418,106.7756084,29.59810347,300,10121472,426000,40M,6,2,3,20
170,1.01E+11,75,531,41339196419,106.7748868,29.57718836,30,10121472,426000,40M,0,4,3,26
171,1.01E+11,1053,533,41339196421,106.7748868,29.57718836,260,10121472,426000,40M,0,4,3,26
172,1.01E+11,3,629,41339200514,106.7695031,29.58378737,290,10121472,426000,40M,0,5,3,28
173,1.01E+11,8,545,41340064770,106.7793202,29.63444402,290,10121472,426000,40M,6,0,17.5,24
174,1.01E+11,161,840,41341248643,106.7171179,29.56957861,360,10116864,427980,20M,0,45,3,87
175,1.01E+11,9,692,41342289026,106.7277032,29.5777817,360,10116864,427980,20M,0,0,3,3
176,1.01E+11,9,681,41342289028,106.734875,29.58164711,360,10116864,427980,20M,0,0,3,3
177,1.01E+11,16,665,41342469252,106.726795,29.57736872,360,10116864,427980,20M,0,0,3,3
178,1.01E+11,117,666,41342534787,106.7304899,29.5839227,360,10121472,427980,20M,0,0,69,3
179,1.01E+11,29,733,41342534790,106.7387721,29.5897848,360,10121472,427980,20M,0,0,3,3
180,1.01E+11,75,661,41342645377,106.741359,29.58900354,360,10121472,427980,20M,0,0,3,3
181,1.01E+11,79,774,41342645382,106.741359,29.58900354,360,10121472,427980,20M,0,0,3,3
182,1.01E+11,7,849,41342645384,106.741359,29.58900354,360,10121472,427980,20M,0,0,3,3
183,1.01E+11,19,732,41342784642,106.7372721,29.58679757,360,10121472,427980,20M,0,0,3,24
184,1.01E+11,34,748,41342784645,106.7418235,29.58689942,360,10121472,427980,20M,0,0,3,3
185,1.01E+11,2,693,41342784648,106.7418235,29.58689942,360,10121472,427980,20M,0,0,3,3
186,1.01E+11,15,316,41342952449,106.7355987,29.52584461,5,10119424,426000,40M,0,4,15,17
187,1.01E+11,525,438,41342964736,106.7539863,29.58237181,40,10119424,426000,40M,0,4,15,12
188,1.01E+11,167,84,41342964737,106.7566742,29.58628983,140,10119424,426000,40M,0,4,15,25
189,1.01E+11,4,236,41342968832,106.7672021,29.60709752,40,10119424,426000,40M,0,4,17.5,15
190,1.01E+11,17,222,41363178499,106.689784,29.65895169,30,10096896,426000,40M,13,13,15,26
191,1.01E+11,6,323,41363198977,106.6925761,29.65059445,190,10096896,427980,20M,0,8,17.5,21
